id,type,x,y,width,height
d1,disabled,10,158,148,66
d2,disabled,10,258,148,66
g1,general,346,57,74,150
g2,general,425,57,74,150
g3,general,501,57,74,150
g4,general,192,494,72,149
g5,general,267,494,72,149
g6,general,348,494,72,149
g7,general,423,494,72,149
g8,general,498,494,72,149
